product_type,firm_size,firm_platform,account_team_rank,industry_type,procurement_locus,tech_savvy,industry_position,deal_size,meeting_count,internal_champion_score,bargaining_power_score,geography,ceo_education,firm_age_years,outcome
ERP,small,Oracle,average,tech,centralized,unknown,leader,38141,3,4,4,ROW,bsc,6,NO SALE
CRM,small,SAP,average,automotive,centralized,unknown,follower,80132,3,3,2,Europe,some_university,7,NO SALE
CRM,medium,SAP,low,tech,LOB_driven,unknown,follower,42692,2,4,3,US,bsc,35,NO SALE
ERP,large,IBM,average,traditional_manufacturing,centralized,naive,follower,75209,1,3,1,US,bsc,53,NO SALE
ERP,large,IBM,average,traditional_manufacturing,centralized,naive,leader,103928,4,3,4,ROW,bsc,23,NO SALE
ERP,large,SAP,high,tech,centralized,naive,follower,87448,1,3,2,ROW,bsc,24,NO SALE
CRM,medium,Oracle,low,tech,LOB_driven,unknown,leader,30000,1,4,4,Europe,bsc,33,NO SALE
CRM,medium,IBM,low,tech,LOB_driven,unknown,follower,30000,3,3,3,Europe,bsc,10,NO SALE
ERP,large,Oracle,high,traditional_manufacturing,centralized,naive,leader,55933,3,5,4,US,mba,21,NO SALE
ERP,large,Oracle,average,tech,procurement_driven,tech_savvy,follower,54963,3,3,5,US,bsc,45,NO SALE
CRM,medium,SAP,high,healthcare,LOB_driven,naive,leader,99948,3,6,3,ROW,mba,69,NO SALE
CRM,medium,Oracle,average,healthcare,LOB_driven,unknown,follower,34942,1,3,2,ROW,high_school,24,NO SALE
DSC,large,SAP,high,tech,procurement_driven,unknown,leader,87670,3,5,4,US,some_university,33,NO SALE
DSC,medium,IBM,high,automotive,procurement_driven,tech_savvy,leader,64882,3,3,4,US,high_school,41,NO SALE
CRM,medium,SAP,high,traditional_manufacturing,LOB_driven,naive,leader,42989,3,4,3,US,mba,33,SALE
ERP,medium,SAP,average,healthcare,centralized,unknown,follower,39362,2,3,1,US,bsc,14,NO SALE
DSC,small,SAP,high,tech,procurement_driven,unknown,follower,38805,3,4,2,Europe,bsc,12,NO SALE
CRM,medium,SAP,average,healthcare,procurement_driven,naive,follower,94813,2,2,5,US,mba,21,NO SALE
ERP,small,Oracle,high,healthcare,centralized,unknown,follower,93735,2,3,4,ROW,bsc,11,NO SALE
DSC,large,SAP,average,tech,centralized,unknown,leader,102525,2,4,4,US,mba,30,NO SALE
DSC,medium,IBM,average,automotive,centralized,naive,leader,150000,3,4,4,Europe,mba,34,NO SALE
ERP,large,IBM,average,healthcare,centralized,naive,leader,47840,1,4,4,ROW,other_graduate,18,NO SALE
CRM,medium,SAP,low,tech,LOB_driven,unknown,leader,48595,3,1,2,Europe,some_university,16,NO SALE
ERP,large,SAP,high,healthcare,centralized,unknown,follower,56127,3,5,4,US,mba,35,NO SALE
CRM,medium,IBM,high,healthcare,LOB_driven,unknown,leader,94001,2,6,3,Europe,bsc,9,NO SALE
DSC,small,IBM,average,automotive,procurement_driven,unknown,follower,85119,1,4,4,Europe,bsc,2,NO SALE
CRM,medium,SAP,low,healthcare,centralized,unknown,leader,73085,3,1,4,Europe,bsc,20,NO SALE
CRM,medium,Oracle,low,traditional_manufacturing,LOB_driven,naive,leader,71460,1,2,3,Europe,bsc,26,NO SALE
ERP,medium,IBM,average,traditional_manufacturing,procurement_driven,unknown,follower,83602,2,3,3,ROW,mba,18,NO SALE
ERP,large,SAP,average,healthcare,centralized,unknown,follower,44139,2,4,5,Europe,mba,27,NO SALE
CRM,small,SAP,average,traditional_manufacturing,LOB_driven,naive,follower,86908,1,4,5,Europe,bsc,14,SALE
